gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325720494,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,47.601547,9.158036,2021-06-26T13:36:26,101.4459
3325692466,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,47.590214,9.082124,2013-04-14T14:29:21,329.3472
3325670299,Animalia,Arthropoda,,Araneae,Araneidae,Larinioides,Larinioides sclopetarius,47.61923,9.154599,2021-07-05T21:59:20,95.38817
3325658450,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo buteo,47.659922,9.123831,2021-07-08T13:47:44,465.0314
3325570728,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.619225,9.143497,2021-06-27T18:20:19,95.38818
3325476771,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,47.588342,9.166883,2021-07-03T11:57:56,291.1222
3321306595,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.550619,9.262553,2021-05-13T15:30:00,723.0016
3321216578,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer montanus,47.509362,9.425603,2021-05-19T15:22:00,1918.559
3321215581,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,Netta rufina,47.508975,9.424916,2021-05-22T09:05:00,2350.757
3321212581,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,47.509166,9.425617,2021-05-19T15:15:00,1918.559
3321196812,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,47.601709,9.157168,2021-06-26T13:22:00,101.4459
3321163806,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rutpela,Rutpela maculata,47.598136,9.156674,2021-06-26T13:07:26,285.8112
3321144484,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula fluminea,47.631776,9.240611,2021-05-08T14:00:00,528.7358
3321101495,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,Agrotis exclamationis,47.568552,9.063442,2021-06-08T15:43:24,94.83997
3321094982,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rutpela,Rutpela maculata,47.608105,9.103146,2021-06-27T13:34:14,235.6721
3321090970,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo buteo,47.607222,9.091111,2021-06-27T16:05:00,300.015
3321075983,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,47.509266,9.422604,2021-06-27T19:05:07,2350.757
3320957982,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Limenitis camilla,47.604029,9.090513,2021-06-27T15:07:17,300.015
3320945519,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Araschnia,Araschnia levana,47.539429,9.111823,2015-06-27T13:35:08,97.75854
3320938771,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Palomena,Palomena prasina,47.601765,9.156224,2021-06-26T13:44:56,101.4459
3320903981,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,47.605088,9.10074,2021-06-27T14:43:27,235.6721
3320897957,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,47.605775,9.110147,2021-06-10T22:14:33,115.8847
3320874958,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea,47.617451,9.145636,2021-06-22T17:43:48,95.38818
3320871960,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Polydrusus,Polydrusus formosus,47.563032,9.097783,2021-06-26T14:27:36,118.5909
3320858521,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula fluminalis,47.619962,9.276312,2021-06-12T13:41:33,278.0871
3314501516,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus,47.564842,9.3527,2021-06-13T15:23:35,1112.513
3314489558,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Cercopis,Cercopis vulnerata,47.505979,9.142827,2021-06-11T19:40:26,90.65074
3314488603,Animalia,Arthropoda,Insecta,Lepidoptera,Cossidae,Cossus,Cossus cossus,47.579668,9.159712,2012-05-09T17:27:36,291.1223
3314464549,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,Anania hortulata,47.619396,9.143156,2021-06-24T22:27:00,95.38818
3314420629,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Liocoris,Liocoris tripustulatus,47.516592,9.144867,2010-09-23T20:36:14,74.80133
3314379548,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossum,Macroglossum stellatarum,47.521063,9.166474,2021-06-15T17:00:33,253.0052
3314377628,Animalia,Arthropoda,,Araneae,Araneidae,Argiope,Argiope bruennichi,47.46742,9.011867,2009-08-09T09:47:24,592.1972
3314373606,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deilephila,Deilephila elpenor,47.511776,9.122613,2010-09-21T18:36:59,90.5246
3314327629,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,47.507688,9.150931,2011-05-06T17:16:32,93.98338
3314259614,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lasiommata,Lasiommata megera,47.517222,8.916389,2021-06-18T10:23:00,461.6243
3314243622,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Leptophyes,Leptophyes punctatissima,47.508829,9.030099,2010-10-03T13:24:29,257.2718
3314145940,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rutpela,Rutpela maculata,47.549479,9.012936,2021-06-20T14:12:06,137.1053
3307492035,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta evonymella,47.580594,9.061173,2014-06-07T15:18:24,94.83998
3307456766,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,Libellula depressa,47.653695,9.050866,2021-06-17T10:27:09,53.31768
3307418188,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus auratus,47.602283,9.075416,2021-06-17T18:23:47,300.015
3307310451,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,Scardinius erythrophthalmus,47.615474,8.753055,2021-05-28T12:20:00,90.4842
3307251140,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,47.664738,9.15242,2021-06-14T21:45:31,475.2139
3307222716,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo bufo,47.614642,9.159547,2021-06-10T18:11:12,95.38819
3307220997,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,Harmonia axyridis,47.496764,9.023929,2014-06-07T15:23:21,350.2674
3307202741,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.619827,9.160997,2021-06-04T18:09:39,95.38818
3307138352,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola,Agrochola helvola,47.622556,9.141036,1973-10-11T00:00:00,95.38817
3307133919,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella,47.620025,9.276083,2021-06-12T13:07:13,278.0871
3307133475,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Ontholestes,Ontholestes murinus,47.619411,9.143514,2021-05-29T15:23:51,95.38818
3307118545,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,47.452978,9.034885,2018-05-18T15:22:23,1110.026
3302568432,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Coreus,Coreus marginatus,47.604776,9.102302,2021-06-04T10:38:18,235.6721
3302474625,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.539057,8.933712,2021-05-28T11:14:00,358.1738
3302473848,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomographa,Lomographa temerata,47.605163,9.131802,2021-05-31T17:01:22,95.38818
3302452735,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,47.619273,9.155088,2021-05-31T18:53:58,95.38817
3302430114,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,47.622425,9.149806,2021-06-04T04:24:17,95.38818
3302420692,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,Limax cinereoniger,47.638687,9.153497,2021-06-06T12:32:46,1263.114
3302393812,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,47.612525,9.296308,2021-06-01T12:22:05,192.9506
3302382215,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Agrypnus,Agrypnus murinus,47.587647,8.831192,2021-05-29T15:45:39,90.4631
3302377431,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Cercopis,Cercopis vulnerata,47.637783,9.150564,2021-06-06T12:56:57,1263.114
3302372782,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus monilis,47.606849,9.102655,2021-06-04T11:09:36,235.6721
3302366005,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus,47.622692,9.150056,2021-05-30T20:07:27,95.38817
3302230816,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Tytthaspis,Tytthaspis sedecimpunctata,47.587703,8.831133,2021-05-29T15:30:12,90.4631
3302221393,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus collybita,47.638468,9.145941,2021-06-06T13:14:31,180.2391
3302211053,Animalia,Arthropoda,,Araneae,Araneidae,Cyclosa,Cyclosa conica,47.607774,9.125014,2021-05-27T17:12:41,95.38818
3302184065,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,Limax cinereoniger,47.539057,8.933712,2021-05-28T10:17:00,358.1738
3302180470,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,Harmonia axyridis,47.615778,8.752797,2021-05-28T12:33:00,90.4842
3302178630,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,47.604947,9.121258,2021-05-31T18:11:00,95.38818
3302163231,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Euthrix,Euthrix potatoria,47.6593,9.076058,2021-06-08T18:30:37,275.6968
3302160164,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,Luscinia megarhynchos,47.664708,9.152791,2021-06-05T21:21:12,475.2139
3302146112,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus,47.622243,9.150764,2021-06-04T04:19:03,95.38817
3302080966,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Anodonta,Anodonta cygnea,47.606474,9.180983,2021-05-31T10:20:32,214.6501
3302075948,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,Meles meles,47.66372,9.149181,2021-05-27T21:49:28,474.5425
