gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325910477,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Nyctobrya,Nyctobrya muralis,47.552383,7.591817,2021-07-08T13:52:25,7566.64
3325780380,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Phyllobius,Phyllobius pyri,47.575108,7.633673,2021-04-04T19:39:05,2089.328
3325600514,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Kleidocerys,Kleidocerys resedae,47.543434,7.595469,2021-07-07T13:29:41,7566.64
3321230527,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,Cornu aspersum,47.537872,7.588817,2021-07-01T16:09:07,6495.388
3321072525,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Pyralis,Pyralis farinalis,47.567055,7.595547,2021-06-14T01:36:56,7566.64
3320955480,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta rumicis,47.580585,7.602459,2021-05-30T02:02:57,7566.641
3320945652,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Apatura,Apatura ilia,47.534938,7.591038,2021-06-25T07:30:32,6495.388
3320860561,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Aglossa,Aglossa pinguinalis,47.565193,7.584367,2021-06-22T23:46:31,7566.64
3320838687,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Amphimallon,Amphimallon solstitiale,47.552779,7.575826,2021-06-25T21:03:09,6004.169
3314508251,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Protaetia,Protaetia speciosissima,47.537588,7.58878,2021-06-22T13:01:00,6495.388
3314504112,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,Limax maximus,47.551506,7.606414,2021-06-21T14:43:05,7566.64
3314500781,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,47.551503,7.606275,2021-06-08T12:40:00,7566.64
3314387800,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.551508,7.60641,2021-06-10T17:34:00,7566.64
3314309746,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus ochruros,47.551469,7.606294,2021-06-17T09:20:00,7566.64
3314250814,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,47.551503,7.606275,2021-06-11T13:11:00,7566.64
3314202840,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,47.551503,7.606275,2021-06-11T19:54:00,7566.64
3314187794,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,47.551488,7.606253,2021-06-08T12:24:00,7566.64
3314155790,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,47.551503,7.606275,2021-06-08T12:24:00,7566.64
3307506365,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Halyomorpha,Halyomorpha halys,47.570097,7.650498,2021-06-13T19:22:16,827.8425
3307371824,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,47.548725,7.573799,2021-06-16T15:42:06,3578.643
3307350682,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Polydrusus,Polydrusus formosus,47.551411,7.606431,2021-06-11T10:11:32,7566.64
3307311311,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.572545,7.60048,2021-06-17T09:44:42,7566.641
3307238720,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hecatera,Hecatera dysodea,47.565205,7.583144,2021-06-15T23:36:12,7566.641
3307132610,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Beosus,Beosus maritimus,47.574931,7.578247,2021-06-11T05:16:43,7566.641
3302561083,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,Carduelis carduelis,47.552208,7.606265,2021-06-03T08:15:00,7566.64
3302532705,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,47.572289,7.659383,2021-06-04T14:09:18,832.2025
3302511168,Animalia,Arthropoda,,Araneae,Zoropsidae,Zoropsis,Zoropsis spinimana,47.551556,7.606474,2021-05-29T14:30:54,7566.64
3302502489,Animalia,Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,Pyrrhocoris,Pyrrhocoris apterus,47.551476,7.606311,2021-06-06T12:50:28,7566.64
3302493884,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,47.551494,7.606283,2021-05-28T15:12:00,7566.64
3302481149,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.551637,7.615513,2021-06-05T18:39:49,6719.18
3302459831,Animalia,Arthropoda,Insecta,Coleoptera,Cleridae,Trichodes,Trichodes alvearius,47.582897,7.648217,2021-06-04T15:22:00,2057.9
3302441805,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,47.551503,7.606275,2021-05-28T16:11:00,7566.64
3302434351,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cepaea,Cepaea nemoralis,47.551525,7.606477,2021-06-09T20:06:25,7566.64
3302417381,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus ochruros,47.551465,7.606194,2021-06-06T21:02:00,7566.64
3302413899,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,47.582897,7.648217,2021-06-04T15:09:00,2057.9
3302411478,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,47.551537,7.606402,2021-06-10T20:13:19,7566.64
3302404112,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Piezodorus,Piezodorus lituratus,47.580032,7.602286,2021-05-29T21:08:51,7566.641
3302373696,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua pronuba,47.551464,7.606402,2021-06-08T11:52:02,7566.64
3302372221,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Eurydema,Eurydema ornata,47.582897,7.648217,2021-06-04T15:11:00,2057.9
3302358505,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Campaea,Campaea margaritaria,47.580231,7.602427,2021-05-30T02:04:03,7566.641
3302353501,Animalia,Arthropoda,Insecta,Coleoptera,Malachiidae,Clanoptilus,Clanoptilus elegans,47.582897,7.648217,2021-06-04T09:47:00,2057.9
3302352487,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Scopula,Scopula marginepunctata,47.580952,7.602691,2021-05-29T23:42:25,7566.641
3302350754,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,47.577983,7.635505,2021-06-01T15:48:09,2089.328
3302333449,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,Chloris chloris,47.551838,7.606101,2021-06-04T17:55:00,7566.64
3302299016,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Mimas,Mimas tiliae,47.5865,7.653337,2021-05-28T21:19:06,1953.452
3302289504,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Clytus,Clytus arietis,47.568535,7.632071,2021-06-10T19:27:53,4388.241
3302282843,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,47.551515,7.606404,2021-06-06T11:27:00,7566.64
3302279160,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,47.582897,7.648217,2021-06-04T09:42:00,2057.9
3302245377,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lubricipeda,47.58009,7.602383,2021-05-30T00:04:52,7566.641
3302234228,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,Alopochen aegyptiaca,47.557125,7.597753,2021-06-06T15:07:00,7566.64
3302230650,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus collybita,47.551947,7.608684,2021-05-20T19:33:00,6719.18
3302227497,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pratorum,47.560431,7.610159,2021-04-10T12:04:02,7192.859
3302203180,Animalia,Arthropoda,,Araneae,Zoropsidae,Zoropsis,Zoropsis spinimana,47.551563,7.606172,2021-05-29T13:13:21,7566.64
3302202813,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus collybita,47.55198,7.606805,2021-05-20T21:05:00,7566.64
3302198942,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,47.551482,7.606299,2021-05-27T12:12:00,7566.64
3302191183,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ochropleura,Ochropleura plecta,47.580585,7.602459,2021-05-30T00:58:52,7566.641
3302168846,Animalia,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,Porcellio scaber,47.551567,7.606091,2021-05-29T12:36:50,7566.64
3302149688,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,47.551474,7.606294,2021-06-06T11:19:00,7566.64
3302132823,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Cynaeda,Cynaeda dentalis,47.580067,7.60246,2021-05-29T23:46:22,7566.641
3302078149,Animalia,Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,Pyrrhocoris,Pyrrhocoris apterus,47.551476,7.606311,2021-06-06T12:50:02,7566.64
