gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325901323,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,47.427445,9.38258,2021-07-07T11:14:41,1961.28
3325892322,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,47.427449,9.382576,2021-07-07T11:14:33,1961.28
3325703637,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,Pyrrhula pyrrhula,46.993938,9.464724,2021-07-01T18:25:00,224.5408
3325671074,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,47.376178,9.67024,2015-04-11T01:25:00,571.5707
3325577217,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Pachytodes,Pachytodes cerambyciformis,47.355703,9.202563,2021-07-06T09:32:03,83.85951
3325561642,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus,46.998138,9.458733,2021-06-29T21:19:00,224.5408
3325560679,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes martes,47.000516,9.470077,2021-06-18T01:26:00,234.3898
3325551500,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemera,Oedemera nobilis,47.231038,8.886397,2021-06-18T10:46:00,1400.497
3325546641,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,46.997849,9.459021,2021-06-29T20:38:00,224.5408
3325538461,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Mesoleuca,Mesoleuca albicillata,47.137761,9.291188,2021-06-06T12:11:10,140.4713
3325528198,Animalia,Arthropoda,Insecta,Hemiptera,Nepidae,Nepa,Nepa cinerea,47.45953,9.097811,2019-08-11T15:09:26,913.9429
3321307589,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea,47.399343,9.309045,2021-05-13T15:07:00,583.1521
3321209280,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,Sphinx pinastri,47.371109,9.560781,2021-06-25T06:55:53,286.2455
3321188637,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Anthaxia,Anthaxia nitidula,47.43546,9.162362,2021-06-25T16:44:42,431.7172
3321157768,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,47.357947,9.566088,2021-06-25T17:30:00,271.8057
3321093977,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Laothoe,Laothoe populi,47.202856,9.441394,2021-06-27T17:53:16,145.0293
3321022451,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis tenax,46.914967,9.278495,2021-06-19T16:10:17,31.52694
3320952784,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,47.420813,9.361167,2021-05-14T17:20:09,1961.28
3320946760,Animalia,Arthropoda,,Araneae,Salticidae,Marpissa,Marpissa muscosa,47.47163,9.503383,2021-06-26T07:35:38,896.851
3320928698,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis tenax,47.063062,9.230765,2021-06-19T13:32:34,64.06234
3320874548,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cepaea,Cepaea nemoralis,47.225352,9.190967,2021-06-19T10:07:39,38.56428
3320844654,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,47.365205,9.565282,2021-06-25T06:30:00,286.2455
3314624560,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus pilaris,47.327055,9.558446,2021-06-24T17:00:00,258.5469
3314517546,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melanargia,Melanargia galathea,47.133157,9.27627,2021-06-24T13:55:37,0.0
3314508095,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis tenax,47.28375,9.485142,2021-06-20T13:12:21,167.8436
3314496990,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,47.222391,8.813792,2021-06-13T17:53:06,0.0
