gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3320871990,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus auronitens,47.27038,9.463646,2021-06-26T09:13:00,119.8552
3314501068,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.282813,9.412437,2021-06-20T15:48:22,40.45404
3314212001,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossum,Macroglossum stellatarum,47.282738,9.410667,2021-06-20T17:09:11,40.45404
3314179749,Animalia,Arthropoda,Insecta,Coleoptera,Rutelidae,Phyllopertha,Phyllopertha horticola,47.29306,9.427838,2001-07-01T13:44:00,40.45404
3307537010,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.286261,9.418466,2021-06-13T13:35:26,40.45405
3307525773,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helicigona,Helicigona lapicida,47.289795,9.416362,2021-06-13T12:04:24,40.45404
3307441664,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.282495,9.410367,2021-06-13T13:13:43,40.45404
3307240087,Animalia,Arthropoda,Insecta,Coleoptera,Pyrochroidae,Pyrochroa,Pyrochroa coccinea,47.292613,9.428183,2021-06-13T11:13:32,40.45404
3307224803,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax graculus,47.281853,9.40898,2021-06-13T14:38:19,40.45404
3307218304,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum,47.284564,9.415079,2017-07-13T14:30:00,40.45404
3302536952,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pseudopanthera,Pseudopanthera macularia,47.280253,9.407612,2021-06-03T14:36:00,40.45404
3302075542,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,Callophrys rubi,47.280299,9.407641,2021-06-03T11:53:00,40.45404
3124800895,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus violaceus,47.268575,9.448837,2021-05-23T12:05:09,90.94809
3124797969,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus burmeisteri,47.281808,9.472908,2021-05-23T15:40:04,109.1193
