gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325865619,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,Rupicapra rupicapra,47.142205,8.515294,2021-06-28T11:11:00,1726.309
3321141618,Animalia,Arthropoda,Insecta,Coleoptera,Omalisidae,Omalisus,Omalisus fontisbellaquei,47.137095,8.535017,2021-06-19T15:07:00,1337.577
3307329319,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.1353,8.677088,2021-06-13T10:57:05,175.8582
3307293693,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,Calopteryx splendens,47.228745,8.402487,2021-06-11T14:51:39,506.2421
3302173444,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,47.154655,8.652668,2021-06-10T13:12:16,204.0879
3124821081,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus scirpaceus,47.237526,8.409107,2021-05-22T08:50:00,536.1649
3124785595,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aphantopus,Aphantopus hyperantus,47.130666,8.535147,2018-07-08T12:51:00,282.3278
3124768399,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,47.130666,8.535147,2018-07-08T12:35:00,282.3278
3124653783,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais io,47.238931,8.407717,2020-08-28T13:45:00,536.1649
3124639721,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia ciconia,47.235432,8.412792,2021-05-22T10:35:00,536.1649
3124567966,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Stenurella,Stenurella melanura,47.130666,8.535147,2018-07-08T11:05:00,282.3278
3113685503,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,47.178851,8.512781,2021-05-10T10:16:00,0.0
3113645550,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cepaea,Cepaea nemoralis,47.178847,8.512866,2021-05-11T10:28:00,0.0
3113529475,Animalia,Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,Pyrrhocoris,Pyrrhocoris apterus,47.17886,8.512835,2021-05-11T10:21:00,0.0
3113506496,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia rufa,47.178841,8.512887,2021-05-10T08:45:00,0.0
3113389485,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,47.178812,8.512789,2021-05-10T11:48:00,0.0
3113387492,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,Erinaceus europaeus,47.178833,8.51278,2021-05-10T23:03:00,0.0
3113326439,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Tropinota,Tropinota hirta,47.240097,8.407239,2021-04-03T12:36:00,536.1649
3112361430,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Tropinota,Tropinota hirta,47.241653,8.408239,2021-04-03T12:32:00,536.1649
3109168471,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Ephemera,Ephemera danica,47.135813,8.686407,2017-06-13T10:42:00,106.2861
3090867691,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,Polyommatus icarus,47.130037,8.630215,2020-05-08T11:41:53,0.0
3090829686,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ematurga,Ematurga atomaria,47.125196,8.675366,2020-05-08T16:20:05,93.70803
3090811724,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha pamphilus,47.129589,8.639235,2020-05-08T13:12:16,204.0879
3090780721,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis,47.139073,8.663334,2020-05-08T12:20:36,204.0879
3090635707,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,47.123197,8.654997,2020-05-08T13:28:01,184.1027
3090605685,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius major,47.129837,8.634268,2020-05-08T12:39:45,204.0879
3090594705,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis rufa,47.130132,8.632146,2020-05-08T12:29:40,0.0
3090561692,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Sphaerophoria,Sphaerophoria scripta,47.128494,8.679956,2020-05-08T16:14:06,93.70803
3090553699,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Oiceoptoma,Oiceoptoma thoracicum,47.119411,8.643483,2020-05-08T13:04:39,204.0879
3090552712,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,47.129693,8.633862,2020-05-08T12:44:50,204.0879
3090545700,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Callistege,Callistege mi,47.126013,8.675115,2020-05-08T16:06:02,93.70803
3079915451,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza schoeniclus,47.233968,8.417028,2021-04-03T11:21:00,628.8246
3079911469,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer montanus,47.233659,8.416646,2021-04-03T11:18:00,536.1649
3079870481,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia atricapilla,47.237586,8.41674,2021-04-03T12:19:35,628.8246
3079701527,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa ochropus,47.237062,8.405657,2021-04-03T12:05:00,536.1649
3079694510,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus migrans,47.23487,8.409277,2021-04-03T11:53:00,536.1649
3079617475,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,Castor fiber,47.237619,8.406822,2021-04-03T12:10:00,536.1649
3070543856,Animalia,Arthropoda,,Araneae,Salticidae,Marpissa,Marpissa muscosa,47.178084,8.499432,2020-05-16T14:29:55,0.0
3059122404,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,Alcedo atthis,47.178349,8.550706,2021-01-10T14:12:00,1017.069
3044925928,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla alba,47.173764,8.516139,2021-02-13T13:51:21,0.0
3044896383,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,Harmonia axyridis,47.163833,8.530602,2019-06-02T11:20:00,1726.309
3044777875,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.212441,8.441903,2021-02-12T13:15:00,942.1153
3039374577,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae,47.179665,8.583195,2020-06-28T10:08:58,157.8779
3039122356,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia ligea,47.100217,8.572603,2018-07-01T10:26:00,308.1902
3031789629,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,47.20589,8.469345,2021-01-24T13:14:57,942.1151
3031637827,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Cydalima,Cydalima perspectalis,47.179059,8.58878,2020-07-13T15:15:54,157.8779
3013887512,Animalia,Arthropoda,,Araneae,Araneidae,Araneus,Araneus diadematus,47.189639,8.483514,2020-09-10T19:29:01,1726.309
3008384361,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Macrothylacia,Macrothylacia rubi,47.105722,8.626272,2020-02-29T13:29:28,135.9713
2999216968,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus,47.111674,8.650307,2020-12-06T13:28:00,126.135
2999215941,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,47.111632,8.64916,2020-12-06T13:29:00,197.2106
2999214946,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,Coccothraustes coccothraustes,47.111632,8.64916,2020-12-06T13:29:00,197.2106
2999212964,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus,47.111632,8.64916,2020-12-06T13:29:00,197.2106
2999209929,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus,47.111592,8.651053,2020-12-06T13:26:00,126.135
2999207985,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,47.170536,8.511702,2020-12-06T10:46:00,0.0
2999113947,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus michahellis,47.170536,8.511702,2020-12-06T10:46:00,0.0
2999112932,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya fuligula,47.106283,8.640875,2020-12-06T11:47:00,149.2568
2999110994,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla alba,47.170205,8.513557,2020-12-06T10:50:00,0.0
2999107009,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,47.170446,8.512725,2020-12-06T10:49:00,0.0
2999097931,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas strepera,47.168434,8.513681,2020-12-06T10:52:00,0.0
2999095993,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,47.106283,8.640875,2020-12-06T11:37:00,149.2568
2999088971,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus iliacus,47.111632,8.64916,2020-12-06T13:30:00,197.2106
2999076975,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus,47.111632,8.64916,2020-12-06T13:29:00,197.2106
2999072010,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,47.170536,8.511702,2020-12-06T10:46:00,0.0
2999069967,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,47.106283,8.640875,2020-12-06T11:37:00,149.2568
2999065984,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus,47.110887,8.650069,2020-12-06T13:32:00,126.135
2999063936,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,47.106283,8.640875,2020-12-06T11:44:00,149.2568
2999061894,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya fuligula,47.106283,8.640875,2020-12-06T11:47:00,149.2568
2999058989,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya fuligula,47.168434,8.513681,2020-12-06T10:52:00,0.0
2999054973,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,47.170489,8.512381,2020-12-06T10:48:00,0.0
2999047925,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,47.111652,8.650952,2020-12-06T13:31:00,126.135
2999045020,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,47.170536,8.511702,2020-12-06T10:46:00,0.0
2999039943,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas strepera,47.168434,8.513681,2020-12-06T10:53:00,0.0
2999028976,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,47.105025,8.647948,2020-12-06T12:59:00,136.7365
2988486210,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.217454,8.427331,2020-11-16T10:16:00,939.0925
2988309094,Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,Cinclus cinclus,47.183837,8.458155,2020-11-15T14:05:01,735.8016
2963867803,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Phengaris,Phengaris teleius,47.123129,8.609502,2007-06-24T00:00:00,353.8667
2901591032,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.230135,8.412788,2020-10-19T13:36:00,536.1649
2901586390,Animalia,Arthropoda,,Opiliones,Phalangiidae,Phalangium,Phalangium opilio,47.178108,8.499403,2020-05-16T16:22:15,0.0
2883048157,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.131402,8.638951,2020-10-04T11:12:14,204.0879
2873858159,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.211111,8.476059,2020-10-01T12:20:00,1833.485
2862359736,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euplagia,Euplagia quadripunctaria,47.156637,8.518997,2020-09-04T09:08:47,1726.309
2862319558,Animalia,Arthropoda,,Araneae,Araneidae,Argiope,Argiope bruennichi,47.237248,8.409388,2020-08-28T13:35:36,536.1649
2859952692,Animalia,Arthropoda,,Araneae,Araneidae,Argiope,Argiope bruennichi,47.237229,8.409386,2020-08-28T00:00:00,536.1649
