gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325842659,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea,47.029299,8.308421,2021-07-02T11:50:00,1289.08
3325834682,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,Libellula fulva,47.028561,8.310395,2021-07-02T12:09:00,1289.08
3325830559,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.115522,8.08414,2021-05-13T14:23:00,217.0878
3325782659,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,47.030206,8.30707,2021-07-02T11:18:00,1019.842
3325780797,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina variegata,47.012282,8.227279,2021-07-03T11:44:00,105.7499
3325706051,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,Volucella pellucens,47.035325,8.468678,2021-07-05T16:02:00,382.4556
3325672783,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,46.7992,8.044438,2021-07-03T16:49:22,39.79176
3325654673,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Crocothemis,Crocothemis erythraea,47.030294,8.306898,2021-07-02T11:13:00,1019.842
3325576817,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina variegata,47.183914,8.211821,2021-07-03T11:41:00,110.394
3325561678,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,47.029782,8.307756,2021-07-02T11:41:00,1019.842
3325514792,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula chloropus,47.030352,8.307134,2021-07-03T11:07:00,1019.842
3325514768,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,47.036918,8.329113,2021-07-03T08:01:33,1307.575
3325513814,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,Calopteryx virgo,47.030367,8.307005,2021-07-03T11:10:00,1019.842
3325494674,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,47.031771,8.310095,2021-07-02T12:22:00,1289.08
3325490788,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula chloropus,47.03025,8.307241,2021-07-03T11:07:00,1019.842
3325490662,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,Coenagrion puella,47.028685,8.310739,2021-07-02T12:00:00,1289.08
3325484688,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Crocothemis,Crocothemis erythraea,47.028743,8.310868,2021-07-02T12:05:00,1289.08
3321321548,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,47.143453,8.135946,2021-05-13T17:40:00,495.4482
3321320549,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,47.135944,8.14292,2021-05-13T14:15:00,495.4481
3321315575,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,47.14597,8.131375,2021-05-13T17:33:00,495.4481
3321107611,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus minutus,47.172999,8.018608,2021-06-25T06:21:48,242.8037
3321042545,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea,47.161306,8.088202,2021-05-13T13:51:00,483.5888
3321020591,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia atricapilla,47.144715,8.129926,2021-05-18T16:21:00,495.4481
3321011574,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus pilaris,47.133995,8.145559,2021-05-14T12:42:00,495.4481
3320993614,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,47.140239,8.137206,2021-05-13T17:29:00,495.4482
3320989520,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,47.146032,8.129915,2021-05-14T11:08:00,495.4481
3320986581,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia atricapilla,47.14505,8.130892,2021-05-18T16:12:00,495.4481
3320979551,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,47.141402,8.128709,2021-05-14T12:35:00,495.4482
3320955612,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,Passer domesticus,47.052171,8.304471,2017-05-10T12:21:00,3027.194
