gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325534535,Animalia,Arthropoda,Insecta,Coleoptera,Cleridae,Trichodes,Trichodes apiarius,46.976943,8.379481,2021-06-27T11:41:00,827.8228
3321200116,Animalia,Arthropoda,Insecta,Lepidoptera,Adelidae,Adela,Adela violella,46.976958,8.379652,2021-06-27T12:37:00,827.8228
3321154030,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euclidia,Euclidia glyphica,46.976958,8.379717,2021-06-27T10:40:00,827.8228
3321128010,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melanargia,Melanargia galathea,46.976753,8.379137,2021-06-27T10:33:00,827.8228
3321104859,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hecatera,Hecatera dysodea,46.98003,8.254097,2021-06-26T17:46:17,119.8828
3321091096,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Crocothemis,Crocothemis erythraea,46.972975,8.377303,2021-06-27T10:00:00,507.0001
3321081149,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Coreus,Coreus marginatus,46.976972,8.379052,2021-06-27T11:46:00,827.8228
3321062057,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Rhynocoris,Rhynocoris annulatus,46.977309,8.380189,2021-06-27T11:28:00,827.8228
3320907053,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Graphosoma,Graphosoma italicum,46.97769,8.380575,2021-06-27T11:23:00,827.8228
3320863019,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melanargia,Melanargia galathea,46.977119,8.379481,2021-06-27T10:48:00,827.8228
3320852037,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Cetonia,Cetonia aurata,46.977473,8.379567,2021-06-27T10:54:00,827.8228
3314572390,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,46.988079,8.405857,2021-05-20T15:00:00,535.2505
3314561471,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,46.95848,8.336524,2021-06-24T12:56:04,168.8929
3307511369,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Leptinotarsa,Leptinotarsa decemlineata,46.986512,8.284983,2021-06-13T13:24:35,340.5057
3307506544,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla alba,46.986198,8.286253,2021-06-13T13:02:00,340.5057
3307317308,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,46.975058,8.310162,2021-06-13T15:18:36,378.9996
3307269565,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,46.979324,8.3164,2021-06-13T17:30:00,378.9996
3307265304,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossum,Macroglossum stellatarum,46.988142,8.289031,2021-06-13T12:42:00,340.5057
3302361502,Animalia,Arthropoda,Insecta,Lepidoptera,Cossidae,Cossus,Cossus cossus,46.977884,8.333076,2021-05-30T12:25:47,409.5787
3302259783,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,46.927214,8.527065,2021-05-30T07:17:00,8.161871
3302061447,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,46.979172,8.328055,2021-05-30T10:52:50,409.5787
3301926285,Animalia,Arthropoda,,Opiliones,Phalangiidae,Amilenus,Amilenus aurantiacus,46.934703,8.52018,2021-05-30T14:13:03,59.35464
3301866629,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax graculus,46.979899,8.25362,2021-05-30T14:14:00,119.8828
3301844427,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae,46.978629,8.329714,2021-05-30T10:35:39,409.5787
3118279286,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,Limax cinereoniger,46.978392,8.358273,2021-05-08T16:42:36,765.3613
3113547327,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,46.969781,8.3097,2021-05-09T16:19:00,168.8929
3113428291,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,46.969779,8.309677,2021-05-09T16:30:00,168.8929
3113362321,Animalia,Arthropoda,Insecta,Coleoptera,Malachiidae,Clanoptilus,Clanoptilus elegans,46.969774,8.309653,2021-05-09T16:21:00,168.8929
3113331230,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius major,46.991993,8.236052,2021-05-08T14:46:00,393.3967
3109299866,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia,Polygonia c-album,46.975874,8.378172,2021-04-24T13:12:00,827.8228
3109190849,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,46.977514,8.380833,2021-04-24T13:14:00,827.8228
3109175837,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais io,46.978539,8.384266,2021-04-24T12:24:00,699.9449
3109156760,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis rustica,46.977645,8.379502,2021-04-24T11:57:00,827.8228
3109069733,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis rustica,46.977756,8.381138,2021-04-24T13:23:00,827.8228
3090938800,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,46.974982,8.331137,2020-05-30T11:39:01,197.9906
3090609547,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,46.929931,8.341795,2019-06-23T09:47:00,124.1809
3044871308,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex,46.980583,8.263363,2016-08-19T09:44:00,119.8828
3044833568,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,Gonepteryx rhamni,46.97429,8.326187,2020-07-05T13:21:00,197.9906
3044743276,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex,46.980583,8.263363,2016-08-19T09:43:00,119.8828
3044684305,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex,46.97953,8.262989,2016-08-19T08:23:00,119.8828
3039156617,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia aethiops,46.992436,8.236347,2020-08-11T12:11:00,393.3967
3039137559,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena transalpina,46.975041,8.322572,2020-07-05T13:12:00,392.7067
3031853667,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,Gryllus campestris,46.985881,8.412447,2020-05-09T12:21:06,559.2783
3031812773,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Lagria,Lagria hirta,46.976688,8.327526,2020-07-05T10:35:00,409.5787
3008477610,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Perca,Perca fluviatilis,46.98374,8.423161,2020-12-13T17:55:00,597.7819
3008473594,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,Tinca tinca,46.98374,8.423161,2020-12-13T17:30:00,597.7819
3008391603,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,Esox lucius,46.98374,8.423161,2020-12-13T17:28:00,597.7819
2999128498,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis tenax,46.995349,8.369591,2020-08-21T10:20:00,548.8322
2992861629,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua pronuba,46.975392,8.313646,1972-08-22T00:00:00,378.9996
2992851939,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Necrodes,Necrodes littoralis,46.990582,8.308374,1973-05-24T00:00:00,392.7067
2992831625,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diarsia,Diarsia brunnea,46.975392,8.313646,1971-06-13T00:00:00,378.9996
2992762731,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Apamea,Apamea monoglypha,46.975392,8.313646,1972-08-26T00:00:00,378.9996
2992656903,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus nemoralis,46.975392,8.313646,1972-04-11T00:00:00,378.9996
2988706343,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,Orthosia gothica,46.990582,8.308374,1972-03-15T00:00:00,392.7067
2988703337,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,Orthosia gothica,46.990582,8.308374,1971-04-02T00:00:00,392.7067
