gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3321332302,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax graculus,46.973922,8.241247,2021-06-26T14:03:54,119.8829
3321317354,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Pissodes,Pissodes piceae,46.97385,8.241278,2021-06-26T14:13:26,119.8829
3321242415,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,46.826069,8.403109,2021-06-27T16:12:00,65.78703
3321176401,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,46.826011,8.402959,2021-06-27T10:10:00,65.78703
3321151435,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex,46.975112,8.245463,2021-06-26T14:40:00,123.2647
3321113980,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,46.81328,8.174255,2021-06-27T17:30:14,49.36826
3321039475,Animalia,Arthropoda,Insecta,Coleoptera,Rutelidae,Phyllopertha,Phyllopertha horticola,46.831406,8.410547,2021-06-27T11:19:00,65.78702
3321025359,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella collaris,46.97525,8.246368,2021-06-26T13:04:00,123.2647
3321020429,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex,46.978461,8.25181,2021-06-26T12:41:00,119.8828
3321006423,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Hoplia,Hoplia argentea,46.832002,8.410975,2021-06-27T15:24:00,65.78702
3320993397,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Setina,Setina irrorella,46.97528,8.246912,2021-06-26T13:12:22,123.2647
3320879478,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Sospita,Sospita vigintiguttata,46.802676,8.227512,2021-05-28T10:52:15,105.2879
3314262304,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena lonicerae,46.868642,8.237686,2017-07-21T12:44:00,105.2879
3307533460,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,46.951136,8.281611,2021-06-13T09:55:00,119.8828
3307467673,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,46.951136,8.281611,2021-06-13T08:26:00,119.8828
3307441348,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,Netta rufina,46.951136,8.281611,2021-06-13T08:26:00,119.8828
3307417539,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea,46.951459,8.280924,2021-06-13T08:22:00,119.8828
3307328516,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euclidia,Euclidia glyphica,46.948822,8.279766,2021-06-13T09:27:00,119.8828
3307246386,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,46.878455,8.226308,2021-06-13T12:44:00,105.2879
3307220935,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,46.951942,8.280344,2021-06-13T10:04:00,119.8828
3302338975,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,46.951136,8.281611,2021-05-31T14:12:00,119.8828
3302300964,Animalia,Arthropoda,Insecta,Coleoptera,Anthribidae,Platyrhinus,Platyrhinus resinosus,46.806905,8.227512,2021-05-31T13:24:29,105.2879
3302155093,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,Gonepteryx rhamni,46.951136,8.281611,2021-05-31T15:15:00,119.8828
3302069987,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis fusca,46.951517,8.288177,2021-05-31T15:05:00,119.8828
3301896050,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euclidia,Euclidia glyphica,46.951136,8.281611,2021-05-31T13:47:00,119.8828
3301867034,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela campestris,46.951136,8.281611,2021-05-31T14:53:00,119.8828
3124578124,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Spilostethus,Spilostethus saxatilis,46.843346,8.295884,2021-05-23T13:46:21,66.5864
3117780786,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,46.951136,8.281611,2018-06-12T09:50:00,119.8828
3108986811,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Rhynocoris,Rhynocoris annulatus,46.818188,8.227512,2021-04-25T11:37:00,105.2879
3097314799,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax graculus,46.979471,8.254801,1971-10-01T00:00:00,119.8828
3070750481,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,46.830639,8.431301,2021-03-11T12:19:10,65.78702
3067949888,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex,46.979588,8.255097,2018-06-18T12:00:07,119.8828
3058764438,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax graculus,46.979628,8.254823,2017-05-21T11:31:00,119.8828
3058716598,Animalia,Arthropoda,,Araneae,Araneidae,Nuctenea,Nuctenea umbratica,46.886608,8.243883,2020-10-25T12:07:07,111.0113
3044789295,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,46.979471,8.254801,2016-08-19T09:05:00,119.8828
3044781272,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,46.979471,8.254801,2016-08-19T09:05:00,119.8828
3044570239,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax graculus,46.977305,8.263934,2016-08-19T07:24:00,119.8828
3031968746,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cupido,Cupido minimus,46.976395,8.249213,2020-06-21T15:47:46,123.2647
3031849757,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lasiommata,Lasiommata maera,46.976424,8.283111,2020-07-09T11:45:00,119.8828
3008405414,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,46.85077,8.385617,2020-07-19T13:04:50,65.78702
3005115922,Animalia,Arthropoda,Insecta,Lepidoptera,Cossidae,Cossus,Cossus cossus,46.968272,8.289603,2018-05-05T10:42:00,119.8828
