gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325839026,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,46.726518,6.937233,2021-04-18T08:08:00,94.28671
3325806901,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Graphosoma,Graphosoma italicum,46.829044,7.210533,2021-07-04T12:22:55,374.8907
3325805972,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,46.726362,6.93721,2021-04-18T07:54:00,94.28671
3325804965,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza citrinella,46.724784,6.944966,2021-04-18T06:56:00,94.28671
3325799994,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,Regulus ignicapilla,46.72651,6.937592,2021-04-18T07:56:00,94.28671
3325789972,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax carbo,46.725965,6.937981,2021-04-18T07:46:00,94.28671
3325703773,Animalia,Arthropoda,Insecta,Coleoptera,Cleridae,Trichodes,Trichodes apiarius,46.812338,7.21807,2021-07-02T09:23:06,154.3751
3325674921,Animalia,Mollusca,Gastropoda,Stylommatophora,Succineidae,Succinea,Succinea putris,46.862295,6.861033,2021-07-04T12:39:33,966.093
3325671550,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum,46.850812,7.197903,2021-06-30T11:32:47,262.5468
3325636539,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,46.928619,7.11302,2021-07-07T16:47:00,558.8638
3325597562,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla alba,46.928602,7.113084,2021-07-07T16:28:00,558.8638
3325596519,Animalia,Arthropoda,,Opiliones,Phalangiidae,Odiellus,Odiellus spinosus,46.892992,6.980797,2021-07-05T23:25:44,194.1917
