gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3320898515,Animalia,Mollusca,Gastropoda,Stylommatophora,Enidae,Zebrina,Zebrina detrita,47.760096,8.613349,2021-06-04T12:14:00,57.43202
3307374733,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Araschnia,Araschnia levana,47.797539,8.582174,2021-06-11T11:26:54,50.07715
3307366826,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis,47.699033,8.488746,2021-06-11T11:48:12,117.191
3307234744,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,47.79645,8.581419,2021-06-11T11:38:38,50.07715
3307232725,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,47.791443,8.589606,2021-06-11T11:52:59,54.95413
3307158703,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,Polyommatus bellargus,47.800395,8.583484,2021-06-11T10:55:11,31.30691
3302547646,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Pyrrhidium,Pyrrhidium sanguineum,47.753691,8.591463,2021-05-28T14:30:00,854.079
3302469578,Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,Lampyris,Lampyris noctiluca,47.755191,8.584339,2021-05-28T16:35:00,854.079
3302300488,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rhagium,Rhagium mordax,47.753691,8.591463,2021-05-28T14:22:00,854.079
3302273124,Animalia,Arthropoda,Insecta,Neuroptera,Ascalaphidae,Libelloides,Libelloides coccajus,47.759519,8.614122,2021-06-04T12:21:00,57.43202
3302273121,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Cercopis,Cercopis vulnerata,47.75998,8.61395,2021-06-04T11:58:00,57.43202
3302149301,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis livida,47.759923,8.615495,2021-06-04T12:32:00,57.43202
3302042120,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis fusca,47.760269,8.615238,2021-06-04T12:00:00,57.43202
3301877850,Animalia,Arthropoda,Insecta,Neuroptera,Ascalaphidae,Libelloides,Libelloides coccajus,47.759981,8.612405,2021-06-04T11:41:00,57.43202
3301866513,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Clytus,Clytus arietis,47.753691,8.591463,2021-05-28T14:07:00,854.079
3301856220,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.734778,8.583198,2021-06-04T09:48:00,327.0588
3301855207,Animalia,Arthropoda,Insecta,Neuroptera,Ascalaphidae,Libelloides,Libelloides coccajus,47.760327,8.613436,2021-06-04T11:35:00,57.43202
3301855199,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.734778,8.583198,2021-06-04T09:55:00,327.0588
3301852666,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,47.757384,8.582365,2021-05-28T16:30:00,854.079
3124610479,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.760395,8.571054,2021-05-23T14:12:17,816.0438
3118457517,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea,47.683742,8.61261,2015-05-17T19:32:00,777.8842
3113427378,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Adelphocoris,Adelphocoris lineolatus,47.758958,8.613705,2020-09-05T12:30:00,57.43202
3113338875,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anthocharis,Anthocharis cardamines,47.679858,8.794804,2021-05-08T15:52:55,162.5445
3090866793,Animalia,Arthropoda,,Araneae,Pisauridae,Pisaura,Pisaura mirabilis,47.761478,8.609266,2020-09-05T10:18:34,57.43202
