gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325783960,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.192818,7.583646,2021-07-04T19:23:51,1074.921
3325571909,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,Vipera aspis,47.260356,7.565819,2021-07-03T00:00:00,176.3562
3325520451,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Pediaspis,Pediaspis aceris,47.311672,7.709342,2021-06-06T16:50:25,513.3274
3321270542,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,Volucella pellucens,47.33148,7.66111,2021-07-01T14:22:26,109.2343
3321164738,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus ochruros,47.347612,7.895413,2017-05-12T13:44:00,1506.008
3321109720,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,47.346931,7.896154,2017-05-13T01:49:00,1506.008
3321074718,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,47.346949,7.896193,2017-05-13T01:47:00,1506.008
3321056842,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon,47.192539,7.583367,2021-06-26T19:11:59,1074.921
3314622394,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.141667,7.509722,2021-06-23T10:59:53,123.7609
3314303923,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.363575,7.898,2021-06-20T15:05:00,1502.493
3314240566,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium manicatum,47.194556,7.624051,2021-06-17T09:05:07,311.5383
3314228213,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,47.393541,8.029528,2021-06-22T08:43:37,232.9951
3314223076,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Maniola,Maniola jurtina,47.353847,7.899208,2021-06-21T11:29:04,1502.492
3307367505,Animalia,Arthropoda,,Araneae,Salticidae,Marpissa,Marpissa muscosa,47.194526,7.62405,2021-06-06T10:41:30,311.5383
3307335353,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,47.374913,7.613967,2021-06-12T16:07:00,13.05315
3307301784,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.361589,7.808688,2021-06-06T11:08:57,339.2076
3307228940,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.378868,7.623389,2021-06-12T14:59:00,21.97528
3307164801,Animalia,Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,Pyrrhocoris,Pyrrhocoris apterus,47.362203,7.810644,2021-06-06T11:04:47,339.2076
3307116742,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Anatis,Anatis ocellata,47.263088,7.531319,2021-06-13T13:40:27,171.7074
3302557433,Animalia,Arthropoda,Insecta,Coleoptera,Geotrupidae,Anoplotrupes,Anoplotrupes stercorosus,47.357144,7.888731,2021-06-06T13:41:08,1364.491
3302549700,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.260642,7.508168,2021-06-09T17:15:31,135.9619
3302493842,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Erannis,Erannis defoliaria,47.389836,8.02811,2021-05-13T14:53:19,480.4636
3302414794,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Leptophyes,Leptophyes punctatissima,47.309684,7.688328,2021-06-06T11:48:00,378.3161
3302395971,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Palomena,Palomena prasina,47.309684,7.688328,2021-06-06T11:55:00,378.3161
3302290497,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena flavipes,47.194602,7.623988,2020-04-04T12:45:00,311.5383
3302255264,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Cercopis,Cercopis vulnerata,47.356008,7.893269,2021-06-06T14:19:18,1502.492
3302249273,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,Polyommatus bellargus,47.4217,7.588215,2021-05-22T13:18:00,406.0554
3302114457,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,47.357303,7.89171,2021-06-06T14:06:16,1502.492
3302071106,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,Autographa gamma,47.295797,7.59228,2021-05-29T13:13:00,29.67571
3302018542,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris,47.381784,8.029876,2021-04-25T14:08:55,1191.648
3301908550,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus lapidarius,47.194635,7.624085,2021-04-29T15:00:00,311.5383
3301885228,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,47.350018,7.903703,2021-06-06T14:07:17,1519.957
3301856590,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia aurulenta,47.194482,7.624088,2021-05-09T17:45:35,311.5383
3301856468,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus humilis,47.194584,7.624124,2017-05-02T08:17:51,311.5383
3301845588,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ematurga,Ematurga atomaria,47.295797,7.59228,2021-05-29T13:14:00,29.67571
3301801770,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta cagnagella,47.350018,7.903703,2021-06-06T12:42:28,1519.957
3124798036,Animalia,Arthropoda,Insecta,Coleoptera,Attelabidae,Apoderus,Apoderus coryli,47.348649,7.871451,2021-05-24T16:00:02,584.239
3124768424,Animalia,Arthropoda,Insecta,Lepidoptera,Cossidae,Cossus,Cossus cossus,47.394609,7.594017,2021-05-23T17:00:00,118.8635
3124730375,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Pyrgus,Pyrgus malvae,47.326895,7.802208,1972-05-13T00:00:00,419.9341
3124595236,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,Limax cinereoniger,47.393188,7.921764,2021-05-23T11:04:03,315.1415
3124565908,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,47.359669,7.945808,2021-04-05T14:04:00,754.5505
3118473533,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.323698,7.695046,2021-05-19T13:35:36,378.316
3118201682,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pseudopanthera,Pseudopanthera macularia,47.324106,7.670779,2021-05-20T13:17:00,171.0258
3118192361,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,47.172338,7.669639,2021-05-14T11:27:13,81.16322
3117872612,Animalia,Arthropoda,Insecta,Lepidoptera,Adelidae,Adela,Adela reaumurella,47.172047,7.665968,2021-05-14T10:59:49,81.16322
3117798621,Animalia,Arthropoda,Insecta,Coleoptera,Pyrochroidae,Pyrochroa,Pyrochroa serraticornis,47.172045,7.66575,2021-05-14T11:02:08,81.16322
3113658305,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,Pterostichus burmeisteri,47.221069,7.425251,2021-05-08T14:39:09,406.6836
3113610750,Animalia,Arthropoda,Insecta,Coleoptera,Geotrupidae,Anoplotrupes,Anoplotrupes stercorosus,47.162681,7.647287,2021-05-10T13:37:59,142.8473
3113358864,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia ciconia,47.190293,7.447979,2021-05-08T10:50:11,180.4089
3113339874,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia ciconia,47.190337,7.447832,2021-05-08T10:52:44,180.4089
3113255892,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,47.352962,7.90275,2021-05-08T13:01:22,1519.957
3112763286,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,47.479436,7.614382,2021-05-04T12:49:48,473.9634
3112758468,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,Helix pomatia,47.402884,7.634691,2021-05-02T11:55:00,146.8134
3112367338,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,,47.204265,7.635016,2020-05-03T10:30:25,223.0729
3112309363,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,Formica rufa,47.191882,7.444872,2020-06-28T11:10:56,348.6389
3112298372,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,,47.200904,7.653266,2020-08-09T15:20:39,226.7853
3109303480,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Calvia,Calvia quatuordecimguttata,47.479527,7.442684,2021-03-30T11:19:25,93.16654
3109299205,Animalia,Arthropoda,Insecta,Diptera,Conopidae,Conops,Conops vesicularis,47.324139,7.687293,2021-04-27T13:53:28,378.3161
3109168560,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,Osmia aurulenta,47.194534,7.623988,2021-04-20T15:09:50,311.5383
3109157245,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,47.194516,7.624022,2021-04-27T13:36:27,311.5383
3109153509,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis muralis,47.319474,7.677892,2021-04-17T12:40:26,374.9218
3109063921,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius major,47.376612,8.030438,2021-04-25T14:48:53,1191.648
3109051548,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum,47.324023,7.706497,2021-04-23T10:20:12,378.3161
3109002843,Animalia,Arthropoda,Insecta,Raphidioptera,Raphidiidae,Xanthostigma,Xanthostigma xanthostigma,47.37694,8.027057,2021-04-25T13:11:15,1191.648
3097410377,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena flavipes,47.194504,7.624097,2021-04-19T13:17:54,311.5383
