gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3307171694,Animalia,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Trochulus,Trochulus clandestinus,47.074425,8.912342,2021-06-12T14:58:04,5.008768
3302005155,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.205097,8.75853,2021-06-04T06:44:20,961.2143
3301858451,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,Salamandra atra,46.98885,8.793577,2021-06-05T18:41:42,20.59646
3301827185,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,Limax cinereoniger,47.005561,8.57337,2021-05-23T11:46:56,723.3129
3124928521,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo bufo,47.210087,8.797057,2021-05-23T13:45:00,1674.582
3124688644,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus milvus,47.096654,8.556286,2021-05-23T13:01:58,301.6985
3124677395,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,Rupicapra rupicapra,47.02168,8.698781,2021-04-11T11:46:54,286.3828
3124670213,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,47.060439,8.54967,2021-05-23T13:10:32,301.6985
3124519752,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cepaea,Cepaea nemoralis,47.208641,8.794572,2021-05-22T11:19:16,1674.582
3124504944,Animalia,Arthropoda,,Opiliones,Phalangiidae,Phalangium,Phalangium opilio,47.208641,8.794572,2021-05-22T11:20:21,1674.582
3109269853,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,47.200001,8.7,2021-04-25T13:17:09,1294.813
3109008839,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,47.200001,8.7,2021-04-25T13:16:27,1294.813
3097390588,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela campestris,47.214256,8.939712,2021-04-21T11:37:44,258.7773
3097375498,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Hydrothassa,Hydrothassa glabra,47.214457,8.938247,2021-04-21T09:20:00,258.7773
3097028438,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,Boloria titania,46.962013,8.750194,2020-07-27T14:42:00,20.59646
3090850709,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.116279,8.670449,2020-05-08T15:33:29,92.44139
3090844690,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax graculus,47.030511,8.688744,2020-05-22T13:52:45,286.3828
3090800871,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Mesembrina,Mesembrina meridiana,47.081543,8.563367,2020-10-04T15:29:32,301.6985
3090800716,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,Gonepteryx rhamni,47.116266,8.670569,2020-05-08T15:31:33,92.44139
3090593806,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,47.071148,8.549263,2020-10-04T14:35:54,301.6984
3090590722,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rhagium,Rhagium mordax,46.997158,8.715177,2020-05-22T16:19:52,20.59646
3090585837,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,47.081759,8.563357,2020-10-04T15:30:33,301.6985
