gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325789269,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.457352,7.567305,2021-06-20T14:47:28,354.6368
3325699270,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Limenitis camilla,47.457355,7.567799,2021-06-28T11:30:00,354.6368
3325584581,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Graphosoma,Graphosoma italicum,47.544594,7.570376,2021-07-02T13:11:40,3578.643
3325580592,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,Limax maximus,47.508432,7.527216,2021-07-02T10:32:47,1059.256
3325563261,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis,Argynnis paphia,47.457366,7.567637,2021-06-20T14:30:00,354.6368
3325487226,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,47.457918,7.565378,2021-06-20T15:09:15,158.5302
3321173986,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis,47.443972,7.503854,2021-06-27T12:07:57,117.0536
3321114666,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.500558,7.534515,2021-06-25T12:13:33,1276.262
3321097620,Animalia,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,Glomeris klugii,47.430977,7.82395,2021-06-25T09:49:04,182.1528
3321066003,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis,Argynnis aglaja,47.406239,7.435464,2021-06-27T12:43:17,93.6048
3321052410,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Sciaphilus,Sciaphilus asperatus,47.401726,7.44806,2021-04-10T23:33:43,90.50415
3320937660,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,47.429193,7.821638,2021-06-25T13:48:32,182.1528
