gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325729513,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Pachyta,Pachyta quadrimaculata,46.668109,8.58949,2021-07-08T12:59:00,3.775098
3325571415,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euplagia,Euplagia quadripunctaria,46.92207,8.62054,2021-05-22T14:49:50,0.0
3321111553,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lacanobia,Lacanobia thalassina,46.669493,8.595239,2021-06-21T00:02:00,3.775099
3321096766,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia atricapilla,46.609342,8.532735,2021-06-26T09:26:36,2.056009
3320928705,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,Carduelis carduelis,46.910818,8.560904,2021-06-25T10:12:17,8.161872
3320848174,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rutpela,Rutpela maculata,46.910667,8.560937,2021-06-28T14:51:30,8.161872
3302525516,Animalia,Arthropoda,,Opiliones,Phalangiidae,Phalangium,Phalangium opilio,46.90954,8.626176,2021-06-02T13:59:27,1017.212
3302406498,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Mononychus,Mononychus punctumalbum,46.893581,8.617024,2021-06-08T14:29:00,185.9185
3302266861,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus,46.935792,8.544585,2021-05-30T08:08:00,32.59194
3302262924,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex,46.927102,8.550568,2021-05-30T07:56:00,10.94332
3302249092,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum,46.909314,8.626316,2021-06-02T08:32:53,1017.212
3302000956,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,Netta rufina,46.893581,8.617024,2021-06-08T14:19:00,185.9185
